# time (s), x coordinate (m), y coordinate (m)
1.116000000000000085e+02,8.469549948163546560e+00,1.672587890881362283e+00
1.152000000000000028e+02,8.358433723899247880e+00,1.705333388889846757e+00
1.187999999999999972e+02,8.246634047057151307e+00,1.736619570108350441e+00
1.224000000000000057e+02,8.134310060894808458e+00,1.766466671106263986e+00
1.260000000000000000e+02,8.021626619779111067e+00,1.794900117607260093e+00
1.295999999999999943e+02,7.908753919700581392e+00,1.821950652235712065e+00
1.332000000000000171e+02,7.795867094307638467e+00,1.847654442774852468e+00
1.368000000000000114e+02,7.683145777664132758e+00,1.872053169623731250e+00
1.404000000000000057e+02,7.570773635118402289e+00,1.895194091222719646e+00
1.440000000000000000e+02,7.458937863852371564e+00,1.917130086308902248e+00
1.475999999999999943e+02,7.347828664852876557e+00,1.937919671962642587e+00
1.512000000000000171e+02,7.237638688214397042e+00,1.957626996514642670e+00
1.548000000000000114e+02,7.128562453841093216e+00,1.976321806498278599e+00
1.584000000000000057e+02,7.020795749766163496e+00,1.994079386954436206e+00
1.620000000000000000e+02,6.914535010446914320e+00,2.010980474524921569e+00
1.655999999999999943e+02,6.809976677523821742e+00,2.027111142905013264e+00
1.692000000000000171e+02,6.707316545650870765e+00,2.042562660365430549e+00
1.728000000000000114e+02,6.606749096111284025e+00,2.057431319197910113e+00
1.764000000000000057e+02,6.508466821027509397e+00,2.071818237086285208e+00
1.800000000000000000e+02,6.412659541055789170e+00,2.085829130555391764e+00
1.835999999999999943e+02,6.319513719523881967e+00,2.099574060802781528e+00
1.872000000000000171e+02,6.229211776024595970e+00,2.113167152371989932e+00
1.908000000000000114e+02,6.141931402517755600e+00,2.126726285280481576e+00
1.944000000000000057e+02,6.057844885018632830e+00,2.140372761369255805e+00
1.980000000000000000e+02,5.977118433961270405e+00,2.154230945793774499e+00
2.015999999999999943e+02,5.899911526320900990e+00,2.168427884726490618e+00
2.052000000000000171e+02,5.826376262560167163e+00,2.183092900488878829e+00
